id,name,host_id,host_name,neighbourhood,neighbourhood_group,latitude,longitude,property_type,room_type,price,minimum_nights,last_review,reviews_per_month,City
2384.0,Hyde Park - Walk to University of Chicago,2613,Rebecca,Neighborhood highlights,Hyde Park,41.7879,-87.5878,Private room in condo,Private room,125.0,3,10/14/2024,2.02,Chicago
7126.0,Tiny Studio Apartment 94 Walk Score,17928,Sarah,Neighborhood highlights,West Town,41.90166,-87.68021,Entire rental unit,Entire home/apt,81.0,2,2/9/2025,2.98,Chicago
10945.0,The Biddle House (#1),33004,At Home Inn,Lincoln Park,Lincoln Park,41.91196,-87.63981,Entire rental unit,Entire home/apt,187.0,4,1/2/2025,0.88,Chicago
28749.0,Quirky Bucktown Loft w/ Parking No Parties,27506,Lauri,Neighborhood highlights,Logan Square,41.91955,-87.70069,Entire loft,Entire home/apt,196.0,2,3/9/2025,1.4,Chicago
71930.0,"Rest, Relax and Explore",334241,Michael And Veronica,Neighborhood highlights,West Town,41.89615,-87.67934,Private room in rental unit,Private room,76.0,3,11/26/2024,0.77,Chicago
94450.0,Comfy Garden Suite in Andersonville,504470,Mark,Neighborhood highlights,Edgewater,41.9796,-87.66512,Entire rental unit,Entire home/apt,109.0,3,10/14/2024,0.99,Chicago
145659.0,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,Neighborhood highlights,North Center,41.94342,-87.68121,Entire rental unit,Entire home/apt,230.0,32,5/5/2024,0.67,Chicago
145690.0,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Neighborhood highlights,Lincoln Park,41.91289,-87.63864,Entire rental unit,Entire home/apt,240.0,32,12/2/2024,0.73,Chicago
189821.0,"Best in Chicago, private, amazing garden space",899757,Meighan,Neighborhood highlights,Logan Square,41.92918,-87.70219,Entire rental unit,Entire home/apt,208.0,3,2/17/2025,4.19,Chicago
207218.0,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,Neighborhood highlights,Pullman,41.68843,-87.60712,Entire rental unit,Entire home/apt,167.0,32,2/1/2025,1.94,Chicago
207351.0,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Neighborhood highlights,Pullman,41.68954,-87.60786,Entire place,Entire home/apt,73.0,32,8/25/2024,0.29,Chicago
220333.0,Pullman School House Apartment - monthly rental,1019125,Jb,Neighborhood highlights,Pullman,41.68912,-87.60725,Entire rental unit,Entire home/apt,167.0,32,7/3/2024,0.04,Chicago
225314.0,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Neighborhood highlights,Logan Square,41.92589,-87.69737,Private room in home,Private room,86.0,2,8/3/2024,0.2,Chicago
2519442.0,"Warm Cozy Suite, Private Bath, Free Street Parking",7858620,Cynthia,Neighborhood highlights,Washington Park,41.79606,-87.62382,Private room in condo,Private room,80.0,2,12/28/2024,0.97,Chicago
2543231.0,Private room near Downtown,2850286,Amado,Neighborhood highlights,Lower West Side,41.85669,-87.65132,Private room in rental unit,Private room,59.0,32,9/1/2022,1.84,Chicago
2564678.0,Even Cowgirls Get The Blues Rm.,5654677,Urban Art,Neighborhood highlights,South Lawndale,41.85295,-87.70686,Private room in home,Private room,45.0,32,9/13/2021,0.05,Chicago
2695259.0,Grand Vintage Lincoln Park Penthouse 3 Bedrooms,13793246,Kristi,Neighborhood highlights,Lake View,41.93308,-87.6511,Entire condo,Entire home/apt,138.0,1,10/22/2023,1.77,Chicago
